BUY,Accenture PLC buy  4 Jul
BUY,Accenture PLC buy  4 Jul
BUY,NVIDIA Corporation buy 20
BUY,Apple Inc buy  7 Apr
BUY,Apple Inc buy 24
BUY,Microsoft Corp buy  4 Apr
BUY,Microsoft Corp buy  1 Mar
BUY,Tesla Inc buy  1 Mar
BUY,AllianceBernstein Holding LP buy 31
BUY,American Express Co buy  4 Apr
BUY,Apple Inc buy  7 Mar
BUY,PayPal Holdings Inc buy 25
BUY,Accenture PLC buy  4 Jul
BUY,NVIDIA Corporation buy 20
BUY,Apple Inc buy  7 Apr
BUY,Apple Inc buy 24
BUY,Microsoft Corp buy  4 Apr
BUY,Microsoft Corp buy  1 Mar
BUY,Tesla Inc buy  1 Mar
BUY,AllianceBernstein Holding LP buy 31
BUY,American Express Co buy  4 Apr
BUY,Apple Inc buy  7 Mar
BUY,PayPal Holdings Inc buy 25
BUY,ECHO STREET GOODCO SELECT LP buy  1 Mar
SELL,CITY OF FARMINGTON sell 924
SELL,NEW YORK CITY TRANSITIONAL FINANCE AUTHORITY sell 109
SELL,STATE OF CALIFORNIA sell 45.30M
SELL,INDUSTRIAL DEVELOPMENT AUTHORITY OF HALIFAX COUNTY VIRGINIA sell 2022-07-28
SELL,Daifuku Co Ltd sell 8
SELL,Fanuc Corp sell 2015 – current
SELL,NextEra Energy Inc sell 1950-06-20
SELL,VGP N.V. sell 72
SELL,VIRGINIA COLLEGE BUILDING AUTHORITY sell None
SELL,Accenture PLC sell  2 Jun
SELL,Alphabet Inc sell 31
SELL,Amazon.com Inc sell  1 Jun
SELL,Apple Inc sell  2 May
SELL,ASML Holding NV sell 30
SELL,CITY OF FARMINGTON sell 924
SELL,NEW YORK CITY TRANSITIONAL FINANCE AUTHORITY sell 109
SELL,STATE OF CALIFORNIA sell 45.30M
SELL,INDUSTRIAL DEVELOPMENT AUTHORITY OF HALIFAX COUNTY VIRGINIA sell 2022-07-28
SELL,Daifuku Co Ltd sell 8
SELL,Fanuc Corp sell 2015 – current
SELL,NextEra Energy Inc sell 1950-06-20
SELL,VGP N.V. sell 72
SELL,VIRGINIA COLLEGE BUILDING AUTHORITY sell None
SELL,Accenture PLC sell  2 Jun
SELL,Alphabet Inc sell 31
SELL,Amazon.com Inc sell  1 Jun
SELL,Apple Inc sell  2 May
SELL,ASML Holding NV sell 30
SELL,NVIDIA Corporation sell  2 May
SELL,Apple Inc sell  11 Apr
SELL,Visa Inc sell  2 May
SELL,CITY OF FARMINGTON sell 924
SELL,NEW YORK CITY TRANSITIONAL FINANCE AUTHORITY sell 109
SELL,STATE OF CALIFORNIA sell 45.30M
SELL,INDUSTRIAL DEVELOPMENT AUTHORITY OF HALIFAX COUNTY VIRGINIA sell 2022-07-28
SELL,Daifuku Co Ltd sell 8
SELL,Fanuc Corp sell 2015 – current
SELL,NextEra Energy Inc sell 1950-06-20
SELL,VGP N.V. sell 72
SELL,VIRGINIA COLLEGE BUILDING AUTHORITY sell None
SELL,Accenture PLC sell  2 Jun
SELL,Alphabet Inc sell 31
SELL,Amazon.com Inc sell  1 Jun
SELL,Apple Inc sell  2 May
SELL,ASML Holding NV sell 30
SELL,NVIDIA Corporation sell  2 May
SELL,Apple Inc sell  11 Apr
SELL,Visa Inc sell  2 May
SELL,ABDIEL QUALIFIED ONSHORE PARTNERS LP sell  4 Apr
SELL,Adobe Inc sell 31
SELL,Align Technology Inc sell  4 Apr
SELL,American Tower Corp sell  7 Mar
SELL,ASML Holding NV sell 25
SELL,Blackstone Group Inc sell  4 Mar
SELL,Chipotle Mexican Grill Inc sell  2 Feb
SELL,Chipotle Mexican Grill Inc sell 29
SELL,CME Group Inc sell  4 Mar
SELL,Equinix Inc sell  28 Feb
SELL,Illumina Inc sell 3
SELL,Intuitive Surgical Inc sell  4 Mar
SELL,Match Group Inc sell  28 Feb
SELL,Netflix Inc sell 3
